experiment,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_balanced_accuracy,val_balanced_accuracy
TL_FULL_3_resnet18_layer4_minimal,0,1,1.5135535526025983,0.7674388653702207,0.4973821989528796,0.8055555555555556,0.49517744423123666,0.8070076524941522,0.5118629421334999,0.8134284016636957
TL_FULL_3_resnet18_layer4_minimal,0,2,0.5572411362829425,0.5645514991548326,0.8603839441535777,0.8194444444444444,0.8670544792476433,0.8263284914569566,0.8662129221484747,0.8265002970885322
TL_FULL_3_resnet18_layer4_minimal,0,3,0.3189145377585193,0.5764824367231793,0.9267015706806283,0.8125,0.9309482924583263,0.8174509711449189,0.9305252965383686,0.8163992869875223
TL_FULL_3_resnet18_layer4_minimal,0,4,0.16760526389455713,0.6120076576868693,0.9825479930191972,0.7986111111111112,0.9836963339887317,0.8046646262952891,0.9836601307189543,0.8104575163398694
TL_FULL_3_resnet18_layer4_minimal,0,5,0.11323699095070258,0.5772241221533881,0.9947643979057592,0.8472222222222222,0.9950978625206955,0.8554614313885414,0.9950980392156864,0.8562091503267975
TL_FULL_3_resnet18_layer4_minimal,0,6,0.07860447917569162,0.6101276551683744,0.9930191972076788,0.8055555555555556,0.9932671149719537,0.8101603321326015,0.9934640522875817,0.809863339275104
TL_FULL_3_resnet18_layer4_minimal,0,7,0.057803770257436375,0.5971325428949462,1.0,0.8125,1.0,0.8191325095060727,1.0,0.8163992869875223
TL_FULL_3_resnet18_layer4_minimal,0,8,0.0437756465491148,0.6243488954173194,1.0,0.8194444444444444,1.0,0.8222660206109271,1.0,0.8300653594771242
TL_FULL_3_resnet18_layer4_minimal,0,9,0.031480629301026956,0.5809840220544074,1.0,0.8333333333333334,1.0,0.8416427791427792,1.0,0.839572192513369
TL_FULL_3_resnet18_layer4_minimal,0,10,0.027353050980398377,0.5884079411625862,1.0,0.8194444444444444,1.0,0.825366015739579,1.0,0.8229352346999406
TL_FULL_3_resnet18_layer4_minimal,1,1,1.584168742672519,0.854575084315406,0.45200698080279234,0.7222222222222222,0.4524938436304522,0.7211344199515555,0.46281940855584264,0.7300314065019947
TL_FULL_3_resnet18_layer4_minimal,1,2,0.5601670484060184,0.683040632141961,0.837696335078534,0.8055555555555556,0.8429812802242379,0.8217503235318965,0.8435974734424347,0.8155929038281979
TL_FULL_3_resnet18_layer4_minimal,1,3,0.31272174711834905,0.5665370557043288,0.9301919720767888,0.8402777777777778,0.9338159250540241,0.8462205957803167,0.9328432779945168,0.8468720821661998
TL_FULL_3_resnet18_layer4_minimal,1,4,0.1917590705017977,0.5498850047588348,0.9755671902268761,0.8194444444444444,0.9771564015099438,0.8277990288110465,0.977124183006536,0.8250997368644427
TL_FULL_3_resnet18_layer4_minimal,1,5,0.1179028532059821,0.5254598193698459,0.9825479930191972,0.8333333333333334,0.9836699562164554,0.8365548046602772,0.9836601307189543,0.8403361344537815
TL_FULL_3_resnet18_layer4_minimal,1,6,0.06515329777154207,0.5185814698537191,0.9982547993019197,0.8402777777777778,0.9983659247243999,0.8485599851612924,0.9983660130718953,0.8482726423902894
TL_FULL_3_resnet18_layer4_minimal,1,7,0.055605219569817885,0.5182437433136834,0.9947643979057592,0.8263888888888888,0.995120498405035,0.8339088621768361,0.9950980392156864,0.8352007469654529
TL_FULL_3_resnet18_layer4_minimal,1,8,0.039967052417483835,0.4995040363735623,0.9982547993019197,0.8402777777777778,0.9983659247243999,0.8469953719268499,0.9983660130718953,0.8482726423902895
TL_FULL_3_resnet18_layer4_minimal,2,1,1.5221041779484898,0.895573476811389,0.47038327526132406,0.7272727272727273,0.4774076160685801,0.7372913758597486,0.47077529103672894,0.7331465919701213
TL_FULL_3_resnet18_layer4_minimal,2,2,0.5885780148389863,0.7168949600699899,0.8449477351916377,0.7482517482517482,0.8505638802576643,0.7571899543445855,0.8515217534825378,0.761904761904762
TL_FULL_3_resnet18_layer4_minimal,2,3,0.3250749960593646,0.6234926893994525,0.921602787456446,0.7902097902097902,0.9259586080508835,0.8026531179301543,0.9260469619946744,0.8025210084033615
TL_FULL_3_resnet18_layer4_minimal,2,4,0.19523452518293666,0.6017817892394699,0.9634146341463414,0.7692307692307693,0.9645757601158709,0.7809184666936256,0.9639477564314167,0.776937441643324
TL_FULL_3_resnet18_layer4_minimal,2,5,0.11856712385337112,0.5732358644058654,0.9825783972125436,0.7832167832167832,0.982795614472423,0.7987336017696549,0.9827688651218062,0.7945845004668535
TL_FULL_3_resnet18_layer4_minimal,2,6,0.08086782374552318,0.5658448851191914,0.9912891986062717,0.8041958041958042,0.9911887686008236,0.8176277146865383,0.9914064391188574,0.8141923436041084
TL_FULL_3_resnet18_layer4_minimal,2,7,0.06557259637252379,0.5892287367707366,0.9982578397212544,0.7902097902097902,0.997911830783716,0.7992087164130175,0.9974747474747474,0.7979458450046686
TL_FULL_3_resnet18_layer4_minimal,2,8,0.038879759265726455,0.582547038585156,1.0,0.7762237762237763,1.0,0.7862497892858424,1.0,0.7880485527544352
TL_FULL_3_resnet18_layer4_minimal,2,9,0.03369119658559976,0.5958207595598447,1.0,0.7902097902097902,1.0,0.8011388399592068,1.0,0.8011204481792717
TL_FULL_3_resnet18_layer4_minimal,2,10,0.029686988062040315,0.6133441308161596,1.0,0.7692307692307693,1.0,0.7827109861423587,1.0,0.7815126050420168
TL_FULL_3_resnet18_layer4_minimal,2,11,0.026454341701695937,0.6248634211666935,1.0,0.7832167832167832,1.0,0.7935184641066994,1.0,0.7945845004668535
TL_FULL_3_resnet18_layer4_minimal,3,1,1.5429520540536488,0.8765380282502074,0.47735191637630664,0.6853146853146853,0.4572661586079911,0.6945480227448628,0.4846246320938523,0.6967411673294026
TL_FULL_3_resnet18_layer4_minimal,3,2,0.5989983153467809,0.6955218986197785,0.8432055749128919,0.7482517482517482,0.8510735090229564,0.7543840044978566,0.8517825311942959,0.7606837606837608
TL_FULL_3_resnet18_layer4_minimal,3,3,0.2991610197447734,0.6169020766978497,0.9303135888501742,0.8041958041958042,0.9349899295802366,0.8106632288737315,0.9342543077837195,0.8134284016636958
TL_FULL_3_resnet18_layer4_minimal,3,4,0.19170893225104968,0.6009578133796478,0.9668989547038328,0.8111888111888111,0.9688642426751781,0.8145409524356892,0.9689542483660131,0.8159422277069337
TL_FULL_3_resnet18_layer4_minimal,3,5,0.11986795855679579,0.5969826891705706,0.9895470383275261,0.7832167832167832,0.9901940302077605,0.7870741023682201,0.9901960784313726,0.7897984368572604
TL_FULL_3_resnet18_layer4_minimal,3,6,0.07534309951685862,0.5942553623572929,0.9930313588850174,0.7832167832167832,0.993463518246751,0.783833499375295,0.9934640522875817,0.7897984368572604
TL_FULL_3_resnet18_layer4_minimal,3,7,0.05202595022497277,0.5637793386732781,0.9982578397212544,0.8111888111888111,0.9983659247243999,0.8165995176747864,0.9983660130718953,0.8179532885415237
TL_FULL_3_resnet18_layer4_minimal,3,8,0.03816998008807362,0.6068456564749871,1.0,0.7692307692307693,1.0,0.7749689490865961,1.0,0.7767265414324238
TL_FULL_3_resnet18_layer4_minimal,3,9,0.040468913804778656,0.5936680319425943,0.9965156794425087,0.8181818181818182,0.9967195651910763,0.8229726743765391,0.9967320261437909,0.8260432378079438
TL_FULL_3_resnet18_layer4_minimal,3,10,0.03028625098644441,0.5906803007726069,1.0,0.8041958041958042,1.0,0.8067020863589491,1.0,0.8114173408291055
TL_FULL_3_resnet18_layer4_minimal,3,11,0.019886864530967503,0.5836793117589884,1.0,0.8181818181818182,1.0,0.8211652244782738,1.0,0.8260432378079438
TL_FULL_3_resnet18_layer4_minimal,3,12,0.021128544330804605,0.5675497117576066,0.9982578397212544,0.8321678321678322,0.9983659247243999,0.8352644372252216,0.9983660130718953,0.8375611316787788
TL_FULL_3_resnet18_layer4_minimal,3,13,0.015980825655629617,0.6017574292796475,1.0,0.8041958041958042,1.0,0.8055283850982776,1.0,0.8114173408291055
TL_FULL_3_resnet18_layer4_minimal,3,14,0.012001463444092236,0.5586924894706352,1.0,0.8111888111888111,1.0,0.8128069995886088,1.0,0.8179532885415238
TL_FULL_3_resnet18_layer4_minimal,3,15,0.013372106881624003,0.5504689054055647,1.0,0.8321678321678322,1.0,0.8340232673566007,1.0,0.8375611316787788
TL_FULL_3_resnet18_layer4_minimal,4,1,1.5918071863958645,0.8665821689825791,0.4442508710801394,0.6993006993006993,0.4451105118429664,0.7098511320285513,0.44499785819895255,0.7169431875314228
TL_FULL_3_resnet18_layer4_minimal,4,2,0.6077117954189354,0.6414170669508981,0.8118466898954704,0.7902097902097902,0.8196863652145756,0.7977339545815347,0.8191345741961338,0.7998994469582705
TL_FULL_3_resnet18_layer4_minimal,4,3,0.3406593538950545,0.5739490704519765,0.9250871080139372,0.7972027972027972,0.927623507172084,0.8053158139262147,0.9280161395072475,0.8044243338360987
TL_FULL_3_resnet18_layer4_minimal,4,4,0.18784429293891694,0.5909556917377286,0.975609756097561,0.7902097902097902,0.9772221172016281,0.7947828670335064,0.977124183006536,0.7998994469582705
TL_FULL_3_resnet18_layer4_minimal,4,5,0.11427157761639418,0.5501892245732821,0.9895470383275261,0.8251748251748252,0.990194203061556,0.8309632911962203,0.9901960784313726,0.832579185520362
TL_FULL_3_resnet18_layer4_minimal,4,6,0.07929542791163256,0.5599165487956334,0.9947735191637631,0.7972027972027972,0.9950975129719092,0.8035511950600777,0.9950980392156864,0.8044243338360985
TL_FULL_3_resnet18_layer4_minimal,4,7,0.06310495817287458,0.5710425249763302,0.9965156794425087,0.8111888111888111,0.9962477051738061,0.8202035942902817,0.9957820337437302,0.8215183509301157
TL_FULL_3_resnet18_layer4_minimal,4,8,0.04282229678633944,0.56273576221266,0.9965156794425087,0.7972027972027972,0.9967436035068885,0.8053403344054483,0.9967320261437909,0.8064353946706889
TL_FULL_3_resnet18_layer4_minimal,4,9,0.0410063587492559,0.5846655989860321,0.9965156794425087,0.8111888111888111,0.9967436035068885,0.8178001547566764,0.9967320261437909,0.8195072900955255
TL_FULL_3_resnet18_layer4_minimal,4,10,0.026071709398997993,0.5353547713973306,1.0,0.8041958041958042,1.0,0.8109444831951227,1.0,0.8129713423831072
