experiment,fold,best_epoch,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,n_train,n_val
MLP_8_early_stopping,0,9,1.3248075776629977,0.5416666666666666,0.4979042493579343,0.5331041507512095,573,144
MLP_8_early_stopping,1,19,1.1492104795244005,0.5902777777777778,0.5856810709196086,0.5901875901875901,573,144
MLP_8_early_stopping,2,11,1.2107862142416148,0.5454545454545454,0.5438946795607831,0.5449112978524744,574,143
MLP_8_early_stopping,3,5,1.4229750991701247,0.5104895104895105,0.4861596851840755,0.5043649161296221,574,143
MLP_8_early_stopping,4,7,1.3416206911727264,0.5314685314685315,0.5189884552834939,0.5311028840440605,574,143
