experiment,fold,best_epoch,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,n_train,n_val
MLP_4_data_augmentation,0,10,1.292674766646491,0.5486111111111112,0.5338316328874945,0.5332739156268569,573,144
MLP_4_data_augmentation,1,15,1.1351728704240587,0.5763888888888888,0.5763182572586011,0.5735506323741617,573,144
MLP_4_data_augmentation,2,20,1.1040800393044532,0.5384615384615384,0.5102674221405387,0.5401493930905696,574,143
MLP_4_data_augmentation,3,18,1.1205075395690811,0.5734265734265734,0.5504325329452664,0.5779057543763426,574,143
MLP_4_data_augmentation,4,19,1.1923443970980343,0.5454545454545454,0.5311991108688735,0.544631838749486,574,143
