experiment,fold,best_epoch,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,n_train,n_val
CNN_0_alexnetsmall_bn_dropout_wd_lightaug,0,7,1.1555679506725736,0.6388888888888888,0.5926981610121145,0.6167133520074697,573,144
CNN_0_alexnetsmall_bn_dropout_wd_lightaug,1,24,0.889845781856113,0.6736111111111112,0.6824166908844328,0.6793141499023851,573,144
CNN_0_alexnetsmall_bn_dropout_wd_lightaug,2,6,1.1252193492609304,0.6083916083916084,0.6075203246940908,0.6023342670401495,574,143
CNN_0_alexnetsmall_bn_dropout_wd_lightaug,3,23,0.9021697852995012,0.6573426573426573,0.6409481708397291,0.6563371269253623,574,143
CNN_0_alexnetsmall_bn_dropout_wd_lightaug,4,19,1.019765109449,0.6433566433566433,0.6379389531519349,0.6432652315005257,574,143
