experiment,fold,best_epoch,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,n_train,n_val
MLP_3_dropout_batchnorm_weightdecay,0,8,1.2411441802978516,0.5902777777777778,0.5325834879406308,0.5709617180205415,573,144
MLP_3_dropout_batchnorm_weightdecay,1,20,1.0266864034864638,0.625,0.6116439619990134,0.6285968933027757,573,144
MLP_3_dropout_batchnorm_weightdecay,2,13,1.0981745119695063,0.5734265734265734,0.5558769399109361,0.5728291316526611,574,143
MLP_3_dropout_batchnorm_weightdecay,3,15,1.0212108872153542,0.5944055944055944,0.5690130442355783,0.5827962886786416,574,143
MLP_3_dropout_batchnorm_weightdecay,4,18,1.1689757175378865,0.6153846153846154,0.6134348855480226,0.6206865030394443,574,143
