experiment,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_balanced_accuracy,val_balanced_accuracy
CNN_SCREEN_2_no_dropout,0,1,1.8976330519970799,1.7625112533569336,0.29842931937172773,0.3611111111111111,0.2800764694847728,0.2744742628234089,0.2940205367245951,0.3566760037348273
CNN_SCREEN_2_no_dropout,0,2,1.4630825455068086,1.4383207427130804,0.39965095986038396,0.4444444444444444,0.38783866935988925,0.3843138567888845,0.39702082383340936,0.43447075800016977
CNN_SCREEN_2_no_dropout,0,3,1.2877610817837672,1.335208124584622,0.4869109947643979,0.5069444444444444,0.46575270720591955,0.49485810485810483,0.48105644784471363,0.5011883541295306
CNN_SCREEN_2_no_dropout,0,4,1.169311197640384,1.2279500034120348,0.5305410122164049,0.5416666666666666,0.5226007218861779,0.486146843066556,0.5287742142507305,0.5189712248535778
CNN_SCREEN_2_no_dropout,0,5,1.1347365119278328,1.1693814330630832,0.5863874345549738,0.5763888888888888,0.5792591420591638,0.5436323461091264,0.5852853917909397,0.5679483914778033
CNN_SCREEN_2_no_dropout,0,6,1.0483444958249104,1.0581984453731113,0.6020942408376964,0.6180555555555556,0.5994919086959303,0.581046165965471,0.6000940140627022,0.5986333927510398
CNN_SCREEN_2_no_dropout,0,7,0.9947093625343283,1.1226344638400607,0.6160558464223386,0.5625,0.6117723247453901,0.5475766014560846,0.6151686342064819,0.5564043799337917
CNN_SCREEN_2_no_dropout,0,8,0.9169964179734701,1.0690663788053725,0.6352530541012217,0.6111111111111112,0.6275222202387498,0.5963600459340824,0.6307161394560695,0.5978270095917155
CNN_SCREEN_2_no_dropout,0,9,0.9477625547487282,1.075317038430108,0.6143106457242583,0.5833333333333334,0.614711003717262,0.5136048187556238,0.6124819149594951,0.5630252100840336
CNN_SCREEN_2_no_dropout,0,10,0.9194209690077351,1.068422754605611,0.6038394415357766,0.5833333333333334,0.5990561955112099,0.525683476693668,0.6050916777850963,0.561624649859944
CNN_SCREEN_2_no_dropout,0,11,0.8795692319437264,1.0155169698927138,0.6404886561954625,0.5833333333333334,0.6333480245709987,0.5642693272084846,0.6378389713623032,0.568882098293863
