experiment,fold,best_epoch,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,n_train,n_val
CNN_FULL_4_aug_minimal,0,16,0.9421846336788602,0.6944444444444444,0.679067941187882,0.6840251252015958,573,144
CNN_FULL_4_aug_minimal,1,22,0.8401811652713351,0.7083333333333334,0.7012567864918143,0.7012987012987014,573,144
CNN_FULL_4_aug_minimal,2,18,0.9974062776232099,0.6643356643356644,0.6639926794357643,0.6560224089635853,574,143
CNN_FULL_4_aug_minimal,3,10,0.9581895316397393,0.6503496503496503,0.6400303833466768,0.6457790575437635,574,143
CNN_FULL_4_aug_minimal,4,20,1.1079381362541572,0.6783216783216783,0.6853687434569787,0.6790529731706203,574,143
