experiment,fold,best_epoch,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,n_train,n_val
MLP_11_bigger_bn_dropout03,0,4,1.2534908056259155,0.5486111111111112,0.5406271448764377,0.5432051608522196,573,144
MLP_11_bigger_bn_dropout03,1,17,1.0484191841549344,0.6319444444444444,0.6446377696377696,0.6351328410151938,573,144
MLP_11_bigger_bn_dropout03,2,24,1.1484622004982474,0.6293706293706294,0.5967228871119031,0.6356676003734828,574,143
MLP_11_bigger_bn_dropout03,3,13,1.0809629697066088,0.6293706293706294,0.6041515778258013,0.6328442799031033,574,143
MLP_11_bigger_bn_dropout03,4,5,1.2674831802194768,0.5804195804195804,0.5750239353765334,0.5895607660313543,574,143
