experiment,fold,best_epoch,image_size,batch_size,epochs,lr,dropout,batch_norm,weight_decay,augmentation,initialization,early_stopping,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
MLP_1_dropout,0,11,64,32,20,0.001,0.5,False,0.0,minimal,default,False,1.6708316935433283,0.5,0.46232070369038536,0.48675833969951615
MLP_1_dropout,1,12,64,32,20,0.001,0.5,False,0.0,minimal,default,False,1.467102262708876,0.4791666666666667,0.4877359444595655,0.4863763687293099
MLP_1_dropout,2,20,64,32,20,0.001,0.5,False,0.0,minimal,default,False,1.5261594307172548,0.5244755244755245,0.5166728492534944,0.5302521008403361
MLP_1_dropout,3,17,64,32,20,0.001,0.5,False,0.0,minimal,default,False,1.3121769795050988,0.4755244755244755,0.44265938048730075,0.47278211984094337
MLP_1_dropout,4,12,64,32,20,0.001,0.5,False,0.0,minimal,default,False,1.432288875946632,0.4965034965034965,0.4974154013721787,0.5122263357557474
