experiment,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_balanced_accuracy,val_balanced_accuracy
MLP_0_baseline,0,1,3.276099437402389,1.911973820792304,0.225130890052356,0.2986111111111111,0.2257140424342884,0.25851216584934833,0.22380132070054548,0.30027162380103556
MLP_0_baseline,0,2,1.6365183015560396,1.9537161986033122,0.39965095986038396,0.4027777777777778,0.39460102655684903,0.3483093527236142,0.3959807580798613,0.39525507172566
MLP_0_baseline,0,3,1.5053994953112244,1.6132930782106187,0.5200698080279232,0.4444444444444444,0.5244292586345146,0.4116375909737294,0.5244521006794909,0.4417282064340888
MLP_0_baseline,0,4,1.308435904834075,1.410475770632426,0.5305410122164049,0.5,0.527432272689608,0.4808350587576724,0.5301351663260767,0.49185128596893296
MLP_0_baseline,0,5,1.1298700982987568,1.4509971141815186,0.5724258289703316,0.4791666666666667,0.5784310509110355,0.4563238350269992,0.5831897789262132,0.476445123503947
MLP_0_baseline,0,6,1.0358617255825022,1.5598492357465956,0.6143106457242583,0.4583333333333333,0.619959758842172,0.4493394419470855,0.6233554576007836,0.4718614718614719
MLP_0_baseline,0,7,0.9486861757374975,1.4679070843590631,0.631762652705061,0.5208333333333334,0.6364598738063494,0.5093015114159055,0.6357926173627648,0.5164247517188694
MLP_0_baseline,0,8,0.8547143208002753,1.4769033855862088,0.6474694589877836,0.5138888888888888,0.6526639247837623,0.4850509797678655,0.652719370837626,0.5205839911722264
MLP_0_baseline,0,9,0.7454794906404838,1.46841828028361,0.7137870855148342,0.5277777777777778,0.7191520574176463,0.5181108871386013,0.7186108437058429,0.5386215092097445
MLP_0_baseline,0,10,0.7727454663571263,1.4486429029040866,0.7190226876090751,0.5208333333333334,0.7296033239892277,0.5152489840544161,0.7267864079309587,0.517825311942959
MLP_0_baseline,0,11,0.7671111636969016,1.5753557946946886,0.7172774869109948,0.4722222222222222,0.7230053141270747,0.4295828138356454,0.7249469411652114,0.4778032425091248
MLP_0_baseline,0,12,0.6891092796392257,1.4172900915145874,0.7329842931937173,0.5625,0.7354807581796221,0.5376636938300225,0.7384846847151149,0.5499108734402852
MLP_0_baseline,0,13,0.6085206396084597,1.4716343614790175,0.7713787085514834,0.5277777777777778,0.7785690804378829,0.49666506982296454,0.778553253055457,0.5286902639843816
MLP_0_baseline,0,14,0.6867607645755455,1.6591995689604018,0.7539267015706806,0.4791666666666667,0.7602590686081315,0.4361610915171287,0.7627397499338523,0.4786096256684492
MLP_0_baseline,0,15,0.6491383613716245,1.577946702639262,0.7539267015706806,0.5069444444444444,0.7562141913155508,0.48096038044595496,0.7597870328148485,0.5069179186826245
MLP_0_baseline,0,16,0.6300579351072328,1.6524261898464627,0.7678883071553229,0.5486111111111112,0.7731646674842049,0.5128621532875789,0.7728589282396852,0.5332739156268568
MLP_0_baseline,0,17,0.5848870217592096,1.606185581949022,0.7713787085514834,0.5,0.776852030626451,0.4871486927042483,0.7751769096958335,0.49248790425261013
MLP_0_baseline,0,18,0.5485414463188012,1.6257628334893122,0.7993019197207679,0.4722222222222222,0.8064820882266208,0.4671049487225958,0.8075470211053125,0.46354299295475765
MLP_0_baseline,0,19,0.48464853018782317,1.8119897974861994,0.8202443280977313,0.5069444444444444,0.8261615082494336,0.507336744337056,0.8266284980831264,0.5069179186826246
MLP_0_baseline,0,20,0.5114315945336539,1.8761015468173556,0.8272251308900523,0.4652777777777778,0.8330985104809759,0.4583136399761497,0.8331644457955447,0.47126729479670654
MLP_0_baseline,1,1,3.0044422890295324,1.9697521660063002,0.21291448516579406,0.3402777777777778,0.216037538413605,0.28415100169486135,0.2120425258820152,0.34139716492657673
MLP_0_baseline,1,2,1.6649062675123232,1.5497148566775851,0.41012216404886565,0.4652777777777778,0.40988895250300883,0.4114389307943315,0.4130637325271768,0.4491129785247432
MLP_0_baseline,1,3,1.4445212305528332,1.823396748966641,0.4677137870855148,0.4305555555555556,0.4591288384787577,0.39445966134725413,0.46973253843598883,0.432221373397844
MLP_0_baseline,1,4,1.2387005798063562,1.2585973739624023,0.5514834205933682,0.5,0.5527505615179399,0.5054308255288648,0.5545056380289699,0.5038197097020627
MLP_0_baseline,1,5,1.07374060798898,1.3290690448549058,0.5986038394415357,0.4791666666666667,0.6056926587120898,0.4522824900569547,0.6053759718070403,0.4735166793990323
MLP_0_baseline,1,6,1.1828916449405344,1.4130804273817275,0.62478184991274,0.5416666666666666,0.6200523889307534,0.5286901317917958,0.625353960131282,0.543799337916985
MLP_0_baseline,1,7,0.9418609431484815,1.5370677179760404,0.6492146596858639,0.5,0.6481051089395342,0.5157730159136539,0.6505533881654872,0.5010185892538834
MLP_0_baseline,1,8,0.8226107442150149,1.3008814255396526,0.675392670157068,0.5347222222222222,0.6705369579063453,0.5287599383187618,0.6764368107277364,0.5401918343094814
MLP_0_baseline,1,9,0.7722770851528041,1.2859036657545302,0.7102966841186736,0.5347222222222222,0.709594856363006,0.5238023172379065,0.7100665416898887,0.5408284525931585
MLP_0_baseline,1,10,0.7452734625568357,1.2893559667799208,0.7417102966841187,0.5138888888888888,0.7462416625960794,0.5043083003630078,0.7438046421554553,0.5190561072914014
MLP_0_baseline,1,11,0.6826732286608032,1.5310058726204767,0.7609075043630017,0.5763888888888888,0.758802171919853,0.5621308698841723,0.7639993694865255,0.5871742636448519
MLP_0_baseline,1,12,0.6790723627982548,1.4166141483518813,0.7521815008726004,0.5416666666666666,0.7621462895843997,0.5101197156752711,0.7615293892463675,0.5394703335879806
MLP_0_baseline,1,13,0.7673261292525819,1.618696649869283,0.7137870855148342,0.5208333333333334,0.7162505452664456,0.5290548675610595,0.7189317300276412,0.5277565571683219
MLP_0_baseline,1,14,0.6376650752613474,1.4743424256642659,0.7609075043630017,0.5416666666666666,0.7703940620231902,0.5446300068547679,0.7677993390867688,0.5530939648586708
MLP_0_baseline,1,15,0.6036822467158186,1.5538890494240656,0.7783595113438045,0.5555555555555556,0.7828248084282032,0.5362139579608134,0.7845628346084342,0.5626007978949156
MLP_0_baseline,1,16,0.5645417993397405,1.421510934829712,0.8097731239092496,0.5486111111111112,0.8164465439260875,0.5494276622849654,0.8181981951551794,0.5503352856294033
MLP_0_baseline,1,17,0.5482610323666278,1.5751017464531794,0.8027923211169284,0.6111111111111112,0.8016359356476634,0.6128603007789758,0.8052177804799785,0.6141244376538494
MLP_0_baseline,1,18,0.5247978676780148,1.7057868639628093,0.8272251308900523,0.5208333333333334,0.8274189604793953,0.5245546945471111,0.8265144989951191,0.5285204991087343
MLP_0_baseline,1,19,0.4930489291071268,1.4049878120422363,0.8132635253054101,0.5625,0.8174858854878727,0.5474729610765264,0.8187189317300275,0.554112554112554
MLP_0_baseline,1,20,0.4475406300126986,1.5130775769551594,0.8394415357766143,0.5833333333333334,0.8469961812456946,0.5719157691693504,0.8450259805328965,0.5958747135217722
MLP_0_baseline,2,1,3.2702905409012106,2.3457244609619354,0.2421602787456446,0.3006993006993007,0.23351535844937324,0.26512708787218586,0.24030060958165533,0.28944911297852477
MLP_0_baseline,2,2,1.6968928932728253,1.8526509533395301,0.40069686411149824,0.4755244755244755,0.4018931764483441,0.432914715243465,0.39705882352941174,0.46937441643323996
MLP_0_baseline,2,3,1.4524496046092867,1.6983786462903856,0.5313588850174216,0.46153846153846156,0.5286593270359383,0.3959911225022572,0.5248233973724169,0.4467787114845938
MLP_0_baseline,2,4,1.2195725893725087,1.4202927067563251,0.5644599303135889,0.5244755244755245,0.5655366993070187,0.5293497260356043,0.5690180673840806,0.5197012138188609
MLP_0_baseline,2,5,0.9953747397931195,1.279332675300278,0.6010452961672473,0.5594405594405595,0.6048130225147796,0.5347326264925154,0.602484540393037,0.5675070028011204
MLP_0_baseline,2,6,0.9846837732434688,1.4097521546837333,0.6167247386759582,0.5244755244755245,0.6202392926526841,0.5183724692067294,0.621558724499901,0.5422035480859011
MLP_0_baseline,2,7,0.8718752588959936,1.3265942610227144,0.662020905923345,0.5244755244755245,0.6666429730911774,0.5050421727287636,0.6684987126163596,0.5453781512605042
MLP_0_baseline,2,8,0.8353131677215523,1.4511710430358673,0.7003484320557491,0.5104895104895105,0.7052774362418628,0.45916061316929074,0.7026198807244559,0.523155929038282
MLP_0_baseline,2,9,0.8066118914075845,1.3872520165009932,0.6689895470383276,0.5524475524475524,0.6686495520218565,0.5266488359257875,0.6724048766532426,0.5454715219421101
MLP_0_baseline,2,10,0.7346015549702927,1.709931758733896,0.7264808362369338,0.5244755244755245,0.7305320866072144,0.5145205871349662,0.7329449175854404,0.519327731092437
MLP_0_baseline,2,11,0.8521645249805384,1.722195109287342,0.710801393728223,0.5034965034965035,0.7137431694125763,0.4627822222851108,0.7119561629365552,0.5197945845004669
MLP_0_baseline,2,12,0.7667416599984783,1.4807362673165916,0.7177700348432056,0.5104895104895105,0.7198335716242562,0.5014626962567467,0.7224807992781849,0.5094304388422035
MLP_0_baseline,2,13,0.6631858020709367,1.5005617925337145,0.7613240418118467,0.5174825174825175,0.7680369445903928,0.5104880261402001,0.7664278955128627,0.5251167133520075
MLP_0_baseline,2,14,0.6710028010793679,1.6883826205780457,0.7473867595818815,0.5104895104895105,0.7583342937805289,0.4747982809688799,0.7569650755925266,0.5171802054154996
MLP_0_baseline,2,15,0.6913890020357192,1.4077734930531962,0.759581881533101,0.5454545454545454,0.764730281697547,0.5320439666586578,0.7656851741819062,0.534733893557423
MLP_0_baseline,2,16,0.5261969086600513,1.4641284867600128,0.7979094076655052,0.5314685314685315,0.8032646387395608,0.5284850430391165,0.8021445390726436,0.5353874883286649
MLP_0_baseline,2,17,0.5329823113900028,1.6108533402422924,0.7996515679442509,0.5384615384615384,0.8034439084204854,0.5362648169468689,0.8050494047226073,0.5355742296918767
MLP_0_baseline,2,18,0.5210232275703642,1.3469624727755993,0.7996515679442509,0.5734265734265734,0.8081107675917951,0.575211293236936,0.8072555621575229,0.5714285714285715
MLP_0_baseline,2,19,0.5330046363408557,1.5163459427706845,0.8118466898954704,0.5454545454545454,0.8186187764972794,0.5223084601828564,0.8174225919323957,0.5480859010270775
MLP_0_baseline,2,20,0.454975987352976,1.5648663294065248,0.8414634146341463,0.5174825174825175,0.8457681326299894,0.49592289553747704,0.8464712484320328,0.5195144724556489
MLP_0_baseline,3,1,3.4565458081740537,1.748531404075089,0.2456445993031359,0.34965034965034963,0.24709011599038108,0.2894135548734039,0.251092318534179,0.3469079939668175
MLP_0_baseline,3,2,1.6738621478296738,1.5511714536826928,0.4163763066202091,0.4825174825174825,0.4198055884447902,0.4474042884807261,0.41944893531760835,0.4828831299419535
MLP_0_baseline,3,3,1.2850437276454754,1.5220949616465536,0.5365853658536586,0.46153846153846156,0.5389856891741097,0.40134680134680134,0.538812889496884,0.44947209653092
MLP_0_baseline,3,4,1.1366057395935059,1.1928684653102102,0.5609756097560976,0.48951048951048953,0.5625571969050865,0.4539840450703647,0.5638595254874326,0.48073495132318655
MLP_0_baseline,3,5,1.0443871039962105,1.3348972480613868,0.6254355400696864,0.5174825174825175,0.6332126332654718,0.4603611096364719,0.6313532037198247,0.5119978061154531
MLP_0_baseline,3,6,0.9014513031530879,1.1322079255030706,0.6498257839721254,0.5804195804195804,0.6590797517915136,0.5741783550190649,0.6578514280976662,0.585081585081585
MLP_0_baseline,3,7,0.8505886406848655,1.2152046757144528,0.6533101045296167,0.5314685314685315,0.6553665047203144,0.502008002008002,0.6630193867539969,0.52708076237488
