experiment,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_balanced_accuracy,val_balanced_accuracy
MLP_1_dropout,0,1,3.814018677250461,2.2731325229008994,0.17801047120418848,0.20833333333333334,0.1777824945678016,0.1832847326964974,0.17756554243862344,0.23656735421441302
MLP_1_dropout,0,2,2.512844162253601,2.5760564141803317,0.24781849912739964,0.3680555555555556,0.2381329085858352,0.30927421026431456,0.25075577173160396,0.357609710550887
MLP_1_dropout,0,3,2.2701494710399635,2.157863007651435,0.28272251308900526,0.3402777777777778,0.2698023924959234,0.30126806238934384,0.2813173790905969,0.3308293014175367
MLP_1_dropout,0,4,2.0533326564659,1.976787765820821,0.2792321116928447,0.3611111111111111,0.2794945507579554,0.31075566408899746,0.2806939025969274,0.3526016467192938
MLP_1_dropout,0,5,1.8909731653972446,2.7059798770480685,0.3298429319371728,0.3888888888888889,0.3277178339070429,0.3303195899707528,0.33177675319338185,0.3772175536881419
MLP_1_dropout,0,6,2.027378040250475,2.0589384767744274,0.33158813263525305,0.4027777777777778,0.3245657321740199,0.3819590806242525,0.33013713668068434,0.3946184534419828
MLP_1_dropout,0,7,1.897919127246264,1.9368420309490628,0.3612565445026178,0.4236111111111111,0.3578930615505433,0.36024941509975744,0.36658025254316484,0.4098972922502334
MLP_1_dropout,0,8,1.7642416063611628,2.008118748664856,0.3769633507853403,0.4097222222222222,0.35896152284558047,0.3616806411375642,0.37505981433630015,0.3996265172735761
MLP_1_dropout,0,9,1.6492880840784176,1.66362550523546,0.38219895287958117,0.4583333333333333,0.38380356752041817,0.45473056684154467,0.38439085079911955,0.4469060351413293
MLP_1_dropout,0,10,1.6230180346736942,1.6297075483534071,0.387434554973822,0.4791666666666667,0.3874115282595186,0.4542229915257175,0.3875983066209544,0.47568118156353445
MLP_1_dropout,0,11,1.5637963696092003,1.6708316935433283,0.41012216404886565,0.5,0.40679036089055187,0.46232070369038536,0.4118055203706519,0.48675833969951615
MLP_1_dropout,0,12,1.510338781391763,1.5250863366656833,0.41710296684118675,0.4513888888888889,0.4189087958824801,0.41374770494975666,0.42636503352417626,0.4411340293693235
MLP_1_dropout,0,13,1.4498660826558218,1.589035365316603,0.4293193717277487,0.4583333333333333,0.4357358290319941,0.41929095143524514,0.4337848260176882,0.44970715558950847
MLP_1_dropout,0,14,1.4695837807696943,1.5232962105009291,0.45549738219895286,0.4236111111111111,0.4478226680345618,0.3770173451293595,0.458089150101614,0.41842797725150666
MLP_1_dropout,0,15,1.5183202579591495,1.7891499201456706,0.4293193717277487,0.4444444444444444,0.4275655032618717,0.3871101065224802,0.43125573513930404,0.42886851710381124
MLP_1_dropout,0,16,1.4710810702508657,1.592372669114007,0.450261780104712,0.4305555555555556,0.4531984155677593,0.39281423523223674,0.4561399064363041,0.42572786690433745
MLP_1_dropout,0,17,1.4867652328018535,1.6707066032621596,0.4467713787085515,0.4444444444444444,0.45005690792471026,0.406190716049871,0.4538219249801558,0.4395637042695866
MLP_1_dropout,0,18,1.4084672657399069,1.738094197379218,0.42408376963350786,0.4583333333333333,0.41142698767596,0.4347704277528839,0.42308017091418826,0.4540361599185128
MLP_1_dropout,0,19,1.4023136526710285,1.4789572026994493,0.493891797556719,0.4722222222222222,0.4930898120855784,0.4401636092728047,0.5019450214768653,0.46417961123843476
MLP_1_dropout,0,20,1.3734746632567667,1.6112774345609877,0.4642233856893543,0.4652777777777778,0.45195752575018666,0.42394057591426015,0.4729090315425624,0.46120872591460826
MLP_1_dropout,1,1,4.042578742142123,2.5214171939425998,0.18150087260034903,0.11805555555555555,0.17722292796873326,0.06314151479785737,0.17744450636987497,0.12231559290382821
MLP_1_dropout,1,2,2.6065327796636453,1.9409570164150662,0.22164048865619546,0.3055555555555556,0.22817850511505608,0.25687175493056524,0.22306243772272044,0.29878618113912236
MLP_1_dropout,1,3,2.263810236416562,1.894968695110745,0.23036649214659685,0.3263888888888889,0.21843386559419342,0.30100636473185494,0.22944779404727722,0.3183940242763772
MLP_1_dropout,1,4,2.025841184311512,1.926884584956699,0.28970331588132636,0.3819444444444444,0.29498914196212256,0.35194620108225,0.2965186648877179,0.37208216619981327
MLP_1_dropout,1,5,1.9901154157794998,1.6413933833440144,0.2757417102966841,0.4097222222222222,0.27241124893642366,0.36540161423882356,0.275628683859418,0.3996265172735761
MLP_1_dropout,1,6,1.7850863642301442,1.6681127283308241,0.33856893542757416,0.4097222222222222,0.33590977919025844,0.3558139048936439,0.33687856423074547,0.4039555216025804
MLP_1_dropout,1,7,1.826115383943754,1.7218994829389784,0.31762652705061084,0.375,0.30818682823358595,0.32653432653432657,0.31981247853720873,0.36771072065189714
MLP_1_dropout,1,8,1.7723045736083185,1.4822016424602933,0.3647469458987784,0.4444444444444444,0.3640836211136891,0.4270119206414863,0.3699509663181954,0.448731007554537
MLP_1_dropout,1,9,1.5894337969508678,1.571003834406535,0.39790575916230364,0.4027777777777778,0.3998114064175803,0.37504037755648056,0.4010994578710037,0.41027926322043967
MLP_1_dropout,1,10,1.492215922157594,1.5257176160812378,0.3769633507853403,0.375,0.37239880015753557,0.3306865144113458,0.3810679884931291,0.37700534759358284
MLP_1_dropout,1,11,1.5321864291219396,1.4889522128634982,0.4013961605584642,0.4027777777777778,0.39568181177891837,0.375685117351784,0.4022619670894485,0.3944911297852474
MLP_1_dropout,1,12,1.6022934726395532,1.6082200076844957,0.4432809773123909,0.4236111111111111,0.43553101872067795,0.3983277220926972,0.44517488304538005,0.42492148374501315
MLP_1_dropout,1,13,1.4369517675036951,1.4576137330796983,0.45898778359511344,0.4583333333333333,0.4534930446655796,0.42025473057219087,0.46293622243614646,0.4475426534250064
MLP_1_dropout,1,14,1.4923068855029333,1.4651188320583768,0.44851657940663175,0.4444444444444444,0.4264794955442016,0.4346272953625895,0.44617413431062913,0.448731007554537
MLP_1_dropout,1,15,1.4609677125854226,1.429274280865987,0.4432809773123909,0.4513888888888889,0.43344108743749504,0.4334801387419621,0.4464330952019051,0.4645615822086411
MLP_1_dropout,1,16,1.6005004444671551,1.3347750504811604,0.39092495636998253,0.4791666666666667,0.37732282562089653,0.4578692938507937,0.3906608006395208,0.4828113063407181
MLP_1_dropout,1,17,1.3475904968188488,1.3509562545352511,0.462478184991274,0.4722222222222222,0.46293566030587335,0.4347255821639455,0.4665250826141539,0.4748747984042102
MLP_1_dropout,1,18,1.3545649180653623,1.4642232921388414,0.4677137870855148,0.4375,0.45532485082787805,0.4108384424494822,0.4740715407610072,0.44219505984211865
MLP_1_dropout,1,19,1.395867407633996,1.4305977026621501,0.4677137870855148,0.4652777777777778,0.4612821525494561,0.4480392851319343,0.46846165971412973,0.47330447330447334
MLP_1_dropout,1,20,1.389617547938961,1.449027140935262,0.4642233856893543,0.4583333333333333,0.4524371106040426,0.44907420895148803,0.4637299938637528,0.4582378405907817
MLP_1_dropout,2,1,3.6307872280426556,2.3993517885674964,0.16202090592334495,0.2937062937062937,0.15860587433675188,0.25319797161902424,0.15963006976078872,0.29486461251167134
MLP_1_dropout,2,2,2.6177169080395317,3.303318658908764,0.21428571428571427,0.24475524475524477,0.2107187952747405,0.18124996639423635,0.21865715983363043,0.23996265172735753
MLP_1_dropout,2,3,2.3192459535931045,2.3244775725411366,0.2421602787456446,0.27972027972027974,0.23675811722545692,0.23537733580080827,0.24390968508615568,0.2754435107376284
